complaint_id,customer_id,complaint_date,complaint_type,severity,department,status,resolution_days,customer_satisfaction
CMP002060,0812-WUPTB,2023-07-11,Wrong Charges,High,Technical,Resolved,2.0,2.0
CMP002061,3594-UVONA,2022-10-07,Call Drop,Medium,Technical,Closed,7.0,3.0
CMP002062,3594-UVONA,2025-08-07,Frequent Disconnections,Medium,Technical,Closed,8.0,2.0
CMP002063,3594-UVONA,2023-02-12,Wrong Charges,High,Technical,In Progress,,
CMP002064,0004-TLHLJ,2025-05-27,Poor Customer Support,High,Sales,Resolved,5.0,3.0
CMP002065,0004-TLHLJ,2024-10-24,Service Outage,Medium,Network,Closed,6.0,3.0
CMP002066,0004-TLHLJ,2024-12-13,Service Outage,High,Sales,Open,,
CMP002067,5089-IFSDP,2021-12-25,Poor Customer Support,Low,Technical,Resolved,10.0,3.0
CMP002068,5089-IFSDP,2022-05-06,Low Download Speed,Medium,Technical,Resolved,14.0,3.0
CMP002069,4817-VYYWS,2024-03-17,Service Outage,High,Sales,Resolved,5.0,1.0
CMP002070,1396-QWFBJ,2020-01-05,Payment Issue,Medium,Technical,Resolved,13.0,1.0
CMP002071,5299-SJCZT,2023-01-26,Low Download Speed,Medium,Network,In Progress,,
CMP002072,5299-SJCZT,2024-09-23,Poor Customer Support,Low,Sales,Resolved,11.0,1.0
CMP002073,5299-SJCZT,2023-05-16,Low Download Speed,Medium,Customer Care,In Progress,,
CMP002074,2403-BCASL,2025-01-28,Streaming Issue,Medium,Billing,Resolved,7.0,3.0
CMP002075,2898-LSJGD,2025-05-21,Call Drop,Medium,Technical,In Progress,,
CMP002076,2898-LSJGD,2021-10-27,Frequent Disconnections,Medium,Sales,Resolved,3.0,3.0
CMP002077,2898-LSJGD,2025-12-17,Wrong Charges,Medium,Billing,Resolved,5.0,2.0
CMP002078,7359-PTSXY,2025-09-06,Frequent Disconnections,Medium,Network,Resolved,2.0,2.0
CMP002079,7359-PTSXY,2024-10-23,Low Download Speed,High,Network,Resolved,11.0,2.0
CMP002080,7359-PTSXY,2023-08-04,Slow Internet,Medium,Customer Care,Resolved,1.0,2.0
CMP002081,4503-BDXBD,2025-06-24,Frequent Disconnections,High,Billing,Resolved,6.0,3.0
CMP002082,6086-ESGRL,2020-10-26,Billing Complaint,High,Technical,In Progress,,
CMP002083,6086-ESGRL,2022-08-02,Billing Complaint,High,Technical,Resolved,11.0,2.0
CMP002084,6086-ESGRL,2021-02-25,Call Drop,Medium,Billing,In Progress,,
CMP002085,3886-CERTZ,2020-12-01,Streaming Issue,Medium,Sales,Closed,8.0,2.0
CMP002086,3886-CERTZ,2024-04-13,Poor Network,Low,Billing,Open,,
CMP002087,3886-CERTZ,2025-05-14,Slow Internet,Medium,Sales,Closed,15.0,3.0
CMP002088,5759-RCVCB,2024-09-01,Installation Delay,High,Customer Care,Resolved,1.0,1.0
CMP002089,6372-RFVNS,2022-10-22,Low Download Speed,High,Customer Care,In Progress,,
CMP002090,6372-RFVNS,2022-12-15,Poor Network,Medium,Billing,Resolved,15.0,1.0
CMP002091,6372-RFVNS,2025-05-26,Wrong Charges,Medium,Billing,Resolved,8.0,2.0
CMP002092,8938-UMKPI,2024-11-01,Payment Issue,High,Sales,Resolved,3.0,3.0
CMP002093,0991-BRRFB,2023-04-18,Billing Complaint,High,Sales,Open,,
CMP002094,3871-IKPYH,2024-03-02,Slow Internet,Medium,Customer Care,Resolved,9.0,1.0
CMP002095,6319-IEJWJ,2024-05-26,Installation Delay,Medium,Technical,Resolved,4.0,2.0
CMP002096,6319-IEJWJ,2022-02-06,Poor Customer Support,Medium,Billing,Closed,1.0,3.0
CMP002097,6319-IEJWJ,2023-01-23,Payment Issue,Medium,Billing,Resolved,9.0,1.0
CMP002098,9025-AOMKI,2023-12-21,Billing Complaint,Medium,Sales,Resolved,11.0,1.0
CMP002099,5275-SQEIZ,2022-01-16,Installation Delay,Low,Sales,Closed,11.0,2.0
CMP002100,7716-YTYHG,2023-01-25,Low Download Speed,High,Customer Care,Resolved,1.0,1.0
CMP002101,7716-YTYHG,2025-12-02,Wrong Charges,Medium,Customer Care,Resolved,15.0,2.0
CMP002102,4390-KYULV,2021-09-08,Customer Support,Low,Network,Resolved,15.0,2.0
CMP002103,4390-KYULV,2025-05-17,Payment Issue,Medium,Customer Care,Resolved,4.0,1.0
CMP002104,1304-NECVQ,2023-03-21,Installation Delay,Medium,Network,Closed,4.0,1.0
CMP002105,8945-GRKHX,2021-08-14,Call Drop,Medium,Technical,Closed,11.0,1.0
CMP002106,6959-UWKHF,2023-11-03,Billing Complaint,Medium,Billing,In Progress,,
CMP002107,6959-UWKHF,2023-04-01,Wrong Charges,High,Network,In Progress,,
CMP002108,3815-SLMEF,2024-08-03,Low Download Speed,Medium,Sales,In Progress,,
CMP002109,3815-SLMEF,2020-04-19,Billing Complaint,Medium,Customer Care,Resolved,7.0,1.0
CMP002110,3815-SLMEF,2025-08-10,Wrong Charges,High,Network,Closed,13.0,2.0
CMP002111,5154-VEKBL,2020-05-13,Payment Issue,High,Sales,Closed,15.0,1.0
CMP002112,5655-JSMZM,2025-02-02,Low Download Speed,Low,Sales,In Progress,,
CMP002113,4505-EXZHB,2020-09-04,Wrong Charges,High,Billing,Resolved,7.0,3.0
CMP002114,4587-VVTOX,2024-02-04,Billing Complaint,Low,Technical,Resolved,5.0,3.0
CMP002115,4587-VVTOX,2022-04-03,Low Download Speed,Medium,Customer Care,Open,,
CMP002116,4652-NNHNY,2020-02-09,Slow Internet,High,Technical,Resolved,5.0,3.0
CMP002117,8972-HJWNV,2022-04-28,Service Outage,Medium,Sales,Resolved,4.0,3.0
CMP002118,8515-OCTJS,2020-10-15,Billing Complaint,Medium,Billing,In Progress,,
CMP002119,8515-OCTJS,2020-11-04,Billing Complaint,High,Customer Care,In Progress,,
CMP002120,2860-RANUS,2021-11-13,Payment Issue,Medium,Technical,Resolved,8.0,1.0
CMP002121,2860-RANUS,2022-05-06,Streaming Issue,High,Billing,Resolved,2.0,2.0
CMP002122,2860-RANUS,2020-02-12,Low Download Speed,High,Sales,Resolved,15.0,2.0
CMP002123,5261-QSHQM,2023-10-25,Wrong Charges,Medium,Sales,Resolved,3.0,1.0
CMP002124,8868-WOZGU,2020-02-15,Low Download Speed,Low,Billing,Resolved,13.0,1.0
CMP002125,8868-WOZGU,2024-01-22,Frequent Disconnections,High,Customer Care,Open,,
CMP002126,8868-WOZGU,2023-01-11,Frequent Disconnections,High,Network,Resolved,7.0,1.0
CMP002127,1334-FJSVR,2022-03-09,Low Download Speed,High,Technical,Resolved,3.0,3.0
CMP002128,1334-FJSVR,2023-08-18,Slow Internet,High,Billing,Resolved,12.0,2.0
CMP002129,7625-XCQRH,2023-10-17,Frequent Disconnections,Low,Billing,In Progress,,
CMP002130,1731-TVIUK,2024-11-02,Poor Customer Support,High,Technical,Resolved,2.0,1.0
CMP002131,1731-TVIUK,2021-02-10,Low Download Speed,High,Customer Care,Closed,8.0,3.0
CMP002132,0406-BPDVR,2020-12-14,Poor Customer Support,Medium,Sales,Open,,
CMP002133,0406-BPDVR,2023-10-02,Frequent Disconnections,High,Sales,Resolved,8.0,1.0
CMP002134,0618-XWMSS,2022-06-17,Billing Complaint,Medium,Network,Resolved,4.0,3.0
CMP002135,0618-XWMSS,2022-08-16,Poor Network,High,Technical,Closed,10.0,3.0
CMP002136,5276-KQWHG,2022-11-03,Frequent Disconnections,High,Billing,Resolved,9.0,2.0
CMP002137,5276-KQWHG,2024-10-24,Poor Network,High,Sales,In Progress,,
CMP002138,5276-KQWHG,2021-12-13,Streaming Issue,Low,Technical,In Progress,,
CMP002139,2565-JSLRY,2022-05-21,Payment Issue,High,Technical,Resolved,13.0,1.0
CMP002140,2565-JSLRY,2022-12-01,Billing Complaint,High,Network,Open,,
CMP002141,6689-KXGBO,2025-04-11,Poor Customer Support,High,Network,Resolved,14.0,1.0
CMP002142,6689-KXGBO,2021-08-08,Poor Customer Support,Medium,Customer Care,Open,,
CMP002143,6615-NGGZJ,2024-08-22,Installation Delay,Medium,Billing,Open,,
CMP002144,6615-NGGZJ,2024-03-01,Wrong Charges,Medium,Billing,Resolved,6.0,2.0
CMP002145,4255-DDUOU,2020-11-21,Customer Support,High,Customer Care,Resolved,2.0,2.0
CMP002146,4255-DDUOU,2020-10-01,Billing Complaint,Low,Network,Closed,5.0,2.0
CMP002147,2984-MIIZL,2021-06-25,Call Drop,High,Technical,Closed,11.0,1.0
CMP002148,5590-YRFJT,2025-10-14,Poor Network,Medium,Network,Open,,
CMP002149,3677-TNKIO,2024-10-25,Service Outage,Low,Sales,Closed,10.0,3.0
CMP002150,9667-EQRXU,2022-05-18,Payment Issue,Medium,Billing,Open,,
CMP002151,9667-EQRXU,2020-12-02,Service Outage,Medium,Technical,In Progress,,
CMP002152,9667-EQRXU,2022-01-03,Poor Customer Support,Low,Sales,Closed,4.0,2.0
CMP002153,3329-WDIOK,2023-05-23,Slow Internet,High,Billing,Resolved,6.0,2.0
CMP002154,3329-WDIOK,2024-09-22,Payment Issue,Medium,Network,Resolved,5.0,3.0
CMP002155,2873-ZLIWT,2023-03-19,Payment Issue,Medium,Network,Resolved,12.0,2.0
CMP002156,2873-ZLIWT,2025-10-25,Installation Delay,High,Customer Care,In Progress,,
CMP002157,3415-TAILE,2025-12-21,Payment Issue,Low,Network,Closed,12.0,3.0
CMP002158,1915-IOFGU,2022-07-21,Billing Complaint,Medium,Technical,Closed,2.0,3.0
CMP002159,3045-XETSH,2021-12-13,Streaming Issue,Medium,Billing,Resolved,4.0,2.0
CMP002160,3045-XETSH,2024-10-03,Slow Internet,Medium,Billing,In Progress,,
CMP002161,7239-HZZCX,2022-10-27,Billing Complaint,Medium,Network,Resolved,10.0,2.0
CMP002162,7683-CBDKJ,2020-02-04,Poor Customer Support,High,Technical,In Progress,,
CMP002163,7683-CBDKJ,2023-10-23,Payment Issue,Low,Sales,In Progress,,
CMP002164,7683-CBDKJ,2020-06-27,Call Drop,High,Customer Care,Resolved,1.0,1.0
CMP002165,0946-CLJTI,2022-01-14,Slow Internet,High,Sales,Resolved,9.0,3.0
CMP002166,0946-CLJTI,2020-10-28,Billing Complaint,Medium,Network,Resolved,12.0,1.0
CMP002167,0628-CNQRM,2024-03-11,Installation Delay,Medium,Technical,Resolved,12.0,1.0
CMP002168,7665-TOALD,2021-11-26,Wrong Charges,Low,Billing,Closed,4.0,2.0
CMP002169,0112-QWPNC,2023-07-16,Poor Customer Support,Medium,Customer Care,Resolved,10.0,1.0
CMP002170,0112-QWPNC,2025-07-27,Wrong Charges,High,Technical,Resolved,4.0,1.0
CMP002171,0324-BRPCJ,2020-02-19,Installation Delay,High,Network,Open,,
CMP002172,2777-PHDEI,2022-09-17,Low Download Speed,High,Network,Resolved,8.0,1.0
CMP002173,2777-PHDEI,2021-01-06,Frequent Disconnections,Low,Billing,In Progress,,
CMP002174,1196-AMORA,2025-12-27,Installation Delay,High,Billing,Closed,2.0,1.0
CMP002175,1196-AMORA,2022-08-07,Service Outage,Medium,Sales,Closed,3.0,3.0
CMP002176,1196-AMORA,2023-03-10,Payment Issue,Medium,Customer Care,Resolved,7.0,3.0
CMP002177,4282-YMKNA,2023-03-22,Poor Customer Support,Low,Technical,Closed,8.0,2.0
CMP002178,4282-YMKNA,2022-02-07,Poor Network,Medium,Sales,Resolved,3.0,2.0
CMP002179,4282-YMKNA,2022-11-27,Installation Delay,Medium,Technical,In Progress,,
CMP002180,5356-RHIPP,2023-12-13,Payment Issue,Medium,Customer Care,Closed,1.0,1.0
CMP002181,5356-RHIPP,2022-09-01,Payment Issue,High,Network,In Progress,,
CMP002182,9189-JWSHV,2021-01-20,Installation Delay,High,Network,Open,,
CMP002183,0746-JTRFU,2023-08-26,Wrong Charges,High,Customer Care,Resolved,7.0,3.0
CMP002184,0576-WNXXC,2025-08-13,Installation Delay,High,Customer Care,Resolved,14.0,3.0
CMP002185,0576-WNXXC,2022-03-26,Billing Complaint,High,Network,Resolved,6.0,3.0
CMP002186,4628-CTTLA,2024-05-19,Wrong Charges,Medium,Sales,Resolved,13.0,3.0
CMP002187,2876-VBBBL,2025-07-09,Billing Complaint,High,Billing,Closed,13.0,1.0
CMP002188,2876-VBBBL,2024-04-12,Payment Issue,Medium,Technical,Resolved,6.0,3.0
CMP002189,6834-NXDCA,2020-06-24,Billing Complaint,Medium,Network,In Progress,,
CMP002190,5597-GLBUC,2021-01-09,Streaming Issue,Low,Sales,Resolved,3.0,1.0
CMP002191,5597-GLBUC,2020-02-05,Slow Internet,High,Sales,In Progress,,
CMP002192,5597-GLBUC,2023-08-01,Streaming Issue,High,Technical,Open,,
CMP002193,2748-MYRVK,2022-01-10,Frequent Disconnections,High,Sales,Resolved,14.0,1.0
CMP002194,2748-MYRVK,2021-05-27,Payment Issue,Low,Network,Closed,10.0,2.0
CMP002195,2748-MYRVK,2020-07-12,Payment Issue,Low,Billing,Resolved,11.0,1.0
CMP002196,4822-YCXMX,2023-06-22,Installation Delay,Medium,Customer Care,Open,,
CMP002197,4822-YCXMX,2024-04-07,Streaming Issue,High,Technical,Open,,
CMP002198,4822-YCXMX,2025-09-07,Installation Delay,High,Technical,Resolved,14.0,1.0
CMP002199,9821-POOTN,2020-05-11,Service Outage,High,Customer Care,Closed,10.0,1.0
CMP002200,6559-ILWKJ,2024-07-01,Service Outage,High,Customer Care,Resolved,10.0,2.0
CMP002201,6559-ILWKJ,2021-09-28,Call Drop,High,Customer Care,In Progress,,
CMP002202,4229-CZMLL,2025-05-11,Frequent Disconnections,Medium,Sales,In Progress,,
CMP002203,3663-MITLP,2020-12-07,Call Drop,High,Billing,In Progress,,
CMP002204,9025-ZRPVR,2025-11-04,Customer Support,Medium,Sales,In Progress,,
CMP002205,9025-ZRPVR,2024-09-25,Billing Complaint,High,Billing,Open,,
CMP002206,9025-ZRPVR,2021-03-03,Payment Issue,High,Customer Care,Open,,
CMP002207,3285-UCQVC,2023-10-25,Low Download Speed,Medium,Sales,Open,,
CMP002208,5482-PLVPE,2025-04-02,Installation Delay,High,Sales,In Progress,,
CMP002209,5482-PLVPE,2024-07-25,Poor Network,Medium,Billing,In Progress,,
CMP002210,5482-PLVPE,2024-05-20,Low Download Speed,High,Billing,Resolved,4.0,3.0
CMP002211,4902-OHLSK,2024-03-11,Poor Customer Support,High,Billing,Closed,3.0,1.0
CMP002212,4902-OHLSK,2021-02-06,Streaming Issue,Medium,Customer Care,Closed,14.0,2.0
CMP002213,4902-OHLSK,2020-12-08,Frequent Disconnections,Low,Customer Care,Open,,
CMP002214,0495-ZBNGW,2023-05-24,Poor Network,High,Billing,Resolved,1.0,3.0
CMP002215,0495-ZBNGW,2023-06-17,Frequent Disconnections,High,Network,Resolved,7.0,3.0
CMP002216,2357-COQEK,2025-05-11,Poor Customer Support,High,Customer Care,Closed,14.0,1.0
CMP002217,2357-COQEK,2025-10-16,Payment Issue,High,Billing,Resolved,4.0,2.0
CMP002218,3737-GCSPV,2022-02-21,Call Drop,High,Technical,Closed,14.0,3.0
CMP002219,3737-GCSPV,2024-10-16,Frequent Disconnections,High,Technical,In Progress,,
CMP002220,3737-GCSPV,2025-11-11,Poor Customer Support,Medium,Customer Care,In Progress,,
CMP002221,4088-YLDSU,2024-12-11,Frequent Disconnections,High,Billing,Closed,4.0,3.0
CMP002222,2034-CGRHZ,2024-06-12,Call Drop,High,Customer Care,Open,,
CMP002223,2034-CGRHZ,2023-05-26,Call Drop,Low,Technical,Resolved,3.0,1.0
CMP002224,5797-APWZC,2023-08-27,Call Drop,High,Network,Closed,11.0,2.0
CMP002225,5797-APWZC,2023-06-13,Service Outage,High,Technical,Resolved,1.0,3.0
CMP002226,5797-APWZC,2022-10-21,Billing Complaint,High,Customer Care,In Progress,,
CMP002227,3683-QKIUE,2023-06-14,Wrong Charges,High,Sales,Resolved,10.0,3.0
CMP002228,3683-QKIUE,2022-12-25,Installation Delay,Medium,Customer Care,Resolved,11.0,3.0
CMP002229,3683-QKIUE,2024-11-17,Installation Delay,Low,Billing,Open,,
CMP002230,4228-ZGYUW,2022-03-06,Frequent Disconnections,Medium,Technical,Closed,7.0,2.0
CMP002231,4228-ZGYUW,2023-10-09,Call Drop,Medium,Customer Care,In Progress,,
CMP002232,3519-ZKXGG,2024-10-04,Poor Network,Medium,Billing,Resolved,1.0,2.0
CMP002233,6416-TVAIH,2025-02-22,Streaming Issue,Medium,Network,Resolved,2.0,1.0
CMP002234,6416-TVAIH,2023-05-09,Service Outage,Medium,Technical,In Progress,,
CMP002235,6416-TVAIH,2024-01-07,Installation Delay,Medium,Technical,Resolved,6.0,2.0
CMP002236,5108-ADXWO,2023-08-27,Payment Issue,High,Sales,Open,,
CMP002237,5108-ADXWO,2024-04-11,Streaming Issue,Medium,Technical,Resolved,11.0,1.0
CMP002238,5108-ADXWO,2023-10-05,Wrong Charges,Low,Network,Resolved,7.0,3.0
CMP002239,3066-RRJIO,2021-09-14,Service Outage,High,Customer Care,In Progress,,
CMP002240,6715-OFDBP,2025-12-03,Low Download Speed,Low,Network,Resolved,11.0,3.0
CMP002241,1567-DSCIC,2020-10-28,Installation Delay,Low,Sales,Resolved,7.0,3.0
CMP002242,1567-DSCIC,2022-12-23,Billing Complaint,High,Network,In Progress,,
CMP002243,1567-DSCIC,2024-04-22,Low Download Speed,High,Customer Care,In Progress,,
CMP002244,2150-UWTFY,2023-12-21,Payment Issue,High,Billing,In Progress,,
CMP002245,2150-UWTFY,2025-02-22,Wrong Charges,Medium,Network,Open,,
CMP002246,2683-BPJSO,2020-05-14,Service Outage,High,Sales,In Progress,,
CMP002247,2683-BPJSO,2025-07-22,Service Outage,High,Billing,Resolved,15.0,1.0
CMP002248,2683-BPJSO,2021-01-02,Poor Network,High,Sales,In Progress,,
CMP002249,2157-MXBJS,2021-12-06,Poor Network,High,Sales,Resolved,10.0,2.0
CMP002250,2157-MXBJS,2021-08-25,Service Outage,High,Network,In Progress,,
CMP002251,9360-AHGNL,2021-08-12,Slow Internet,Medium,Billing,Closed,9.0,2.0
CMP002252,9360-AHGNL,2020-09-11,Payment Issue,High,Billing,Closed,4.0,3.0
CMP002253,1087-UDSIH,2022-04-10,Billing Complaint,Medium,Technical,Open,,
CMP002254,1087-UDSIH,2025-08-15,Customer Support,High,Sales,In Progress,,
CMP002255,1087-UDSIH,2021-04-25,Billing Complaint,Low,Billing,Resolved,7.0,1.0
CMP002256,5485-WUYWF,2022-12-04,Service Outage,Medium,Customer Care,In Progress,,
CMP002257,5485-WUYWF,2022-02-09,Call Drop,Medium,Customer Care,Closed,13.0,3.0
CMP002258,2632-UCGVD,2021-06-21,Streaming Issue,High,Customer Care,Resolved,15.0,3.0
CMP002259,5445-PZWGX,2024-08-06,Poor Customer Support,High,Technical,Open,,
CMP002260,5445-PZWGX,2020-12-02,Slow Internet,Medium,Network,Resolved,12.0,2.0
CMP002261,5445-PZWGX,2024-07-01,Poor Customer Support,Medium,Customer Care,Resolved,9.0,2.0
CMP002262,9170-CCKOU,2024-07-16,Streaming Issue,High,Network,Resolved,3.0,2.0
CMP002263,9170-CCKOU,2023-06-18,Slow Internet,Medium,Customer Care,Open,,
CMP002264,1043-YCUTE,2022-04-11,Billing Complaint,Low,Customer Care,In Progress,,
CMP002265,1043-YCUTE,2021-04-02,Customer Support,Medium,Customer Care,Resolved,15.0,2.0
CMP002266,3814-MLAXC,2022-06-14,Poor Customer Support,Medium,Network,Resolved,14.0,3.0
CMP002267,3814-MLAXC,2020-04-16,Low Download Speed,High,Customer Care,Closed,6.0,2.0
CMP002268,1226-UDFZR,2025-04-23,Wrong Charges,High,Sales,In Progress,,
CMP002269,1226-UDFZR,2021-09-10,Billing Complaint,Medium,Technical,In Progress,,
CMP002270,1226-UDFZR,2020-11-14,Installation Delay,Medium,Network,Open,,
CMP002271,6425-YQLLO,2022-12-12,Payment Issue,High,Billing,Open,,
CMP002272,6425-YQLLO,2024-06-08,Slow Internet,Medium,Billing,Resolved,4.0,1.0
CMP002273,6425-YQLLO,2021-11-04,Poor Network,Low,Billing,Open,,
CMP002274,5442-UTCVD,2020-01-04,Installation Delay,Medium,Sales,Resolved,4.0,2.0
CMP002275,5442-UTCVD,2020-03-02,Poor Network,High,Network,Closed,8.0,3.0
CMP002276,7734-DBOAI,2025-10-15,Payment Issue,High,Sales,Resolved,2.0,1.0
CMP002277,7734-DBOAI,2025-11-24,Low Download Speed,Medium,Technical,Closed,10.0,2.0
CMP002278,7734-DBOAI,2024-12-22,Low Download Speed,High,Sales,In Progress,,
CMP002279,2091-RFFBA,2021-09-13,Installation Delay,Medium,Network,Resolved,5.0,2.0
CMP002280,2114-MGINA,2025-02-03,Poor Network,Low,Billing,Resolved,11.0,1.0
CMP002281,2114-MGINA,2021-09-05,Streaming Issue,High,Customer Care,Open,,
CMP002282,4489-SNOJF,2020-01-26,Wrong Charges,High,Sales,In Progress,,
CMP002283,4489-SNOJF,2020-08-01,Poor Network,High,Technical,Resolved,4.0,3.0
CMP002284,6899-PPEEA,2020-01-15,Call Drop,Medium,Billing,Resolved,3.0,3.0
CMP002285,2187-LZGPL,2023-11-02,Billing Complaint,High,Technical,In Progress,,
CMP002286,2187-LZGPL,2022-01-14,Frequent Disconnections,High,Billing,Resolved,3.0,1.0
CMP002287,4597-NUCQV,2020-02-09,Streaming Issue,High,Customer Care,Open,,
CMP002288,9019-QVLZD,2024-06-01,Poor Customer Support,High,Technical,In Progress,,
CMP002289,9019-QVLZD,2020-12-26,Payment Issue,High,Customer Care,Open,,
CMP002290,9019-QVLZD,2022-08-07,Installation Delay,High,Technical,Closed,9.0,2.0
CMP002291,3707-LRWZD,2023-06-03,Streaming Issue,High,Network,Resolved,6.0,2.0
CMP002292,1455-ESIQH,2023-10-17,Wrong Charges,Medium,Network,Resolved,1.0,1.0
CMP002293,2979-SXESE,2025-03-27,Call Drop,Medium,Network,Resolved,1.0,1.0
CMP002294,2979-SXESE,2021-07-27,Poor Network,High,Technical,Closed,6.0,3.0
CMP002295,2979-SXESE,2021-04-20,Wrong Charges,Medium,Network,Resolved,12.0,3.0
CMP002296,4013-TLDHQ,2022-01-17,Service Outage,High,Customer Care,Resolved,2.0,1.0
CMP002297,3754-DXMRT,2025-03-28,Poor Customer Support,High,Technical,Resolved,12.0,2.0
CMP002298,7130-VTEWQ,2025-05-01,Installation Delay,Medium,Network,Resolved,5.0,1.0
CMP002299,7130-VTEWQ,2023-07-14,Installation Delay,High,Technical,Resolved,7.0,2.0
CMP002300,7130-VTEWQ,2020-02-24,Wrong Charges,High,Technical,Resolved,12.0,3.0
CMP002301,6121-VZNQB,2020-01-21,Billing Complaint,Medium,Sales,Resolved,5.0,1.0
CMP002302,7903-CMPEY,2021-08-02,Installation Delay,Medium,Network,In Progress,,
CMP002303,7903-CMPEY,2020-07-11,Call Drop,Medium,Technical,Resolved,13.0,3.0
CMP002304,7903-CMPEY,2024-01-14,Service Outage,Medium,Sales,Closed,3.0,2.0
CMP002305,6996-KNSML,2021-10-26,Service Outage,Medium,Billing,Resolved,8.0,3.0
CMP002306,6996-KNSML,2022-02-12,Poor Customer Support,Medium,Sales,Resolved,11.0,2.0
CMP002307,1704-NRWYE,2023-06-02,Frequent Disconnections,High,Sales,Open,,
CMP002308,2592-SEIFQ,2021-05-24,Poor Network,High,Billing,Resolved,15.0,3.0
CMP002309,2592-SEIFQ,2022-01-17,Call Drop,High,Sales,Resolved,2.0,3.0
CMP002310,2592-SEIFQ,2025-06-06,Slow Internet,Medium,Network,Resolved,6.0,1.0
CMP002311,7481-ATQQS,2025-01-09,Poor Customer Support,Medium,Sales,Resolved,11.0,1.0
CMP002312,7481-ATQQS,2022-04-27,Installation Delay,Medium,Sales,Resolved,2.0,3.0
CMP002313,8642-GVWRF,2025-12-12,Slow Internet,Medium,Sales,Resolved,9.0,1.0
CMP002314,8642-GVWRF,2022-11-05,Poor Customer Support,Medium,Billing,Closed,12.0,1.0
CMP002315,8642-GVWRF,2020-10-09,Low Download Speed,High,Billing,Open,,
CMP002316,3400-ESFUW,2023-04-20,Billing Complaint,Medium,Sales,Resolved,15.0,2.0
CMP002317,3400-ESFUW,2025-10-02,Slow Internet,High,Network,Resolved,5.0,2.0
CMP002318,2057-ZBLPD,2020-11-15,Installation Delay,High,Sales,Closed,8.0,2.0
CMP002319,2057-ZBLPD,2022-04-19,Streaming Issue,Low,Sales,Resolved,15.0,1.0
CMP002320,5502-RLUYV,2020-01-23,Installation Delay,High,Billing,Closed,1.0,2.0
CMP002321,5502-RLUYV,2020-12-15,Poor Customer Support,High,Network,Open,,
CMP002322,5502-RLUYV,2022-11-23,Streaming Issue,High,Customer Care,Open,,
CMP002323,0023-HGHWL,2024-08-07,Billing Complaint,High,Network,Open,,
CMP002324,9039-RBEEE,2025-10-22,Billing Complaint,High,Sales,Open,,
CMP002325,9039-RBEEE,2022-02-12,Call Drop,Low,Billing,Resolved,8.0,2.0
CMP002326,8417-FMLZI,2020-07-09,Slow Internet,High,Billing,In Progress,,
CMP002327,8417-FMLZI,2020-11-13,Wrong Charges,High,Network,In Progress,,
CMP002328,8417-FMLZI,2022-05-12,Frequent Disconnections,High,Customer Care,Resolved,9.0,3.0
CMP002329,1792-UXAFY,2022-12-09,Low Download Speed,Medium,Sales,Closed,6.0,3.0
CMP002330,0515-YPMCW,2022-05-17,Poor Customer Support,High,Sales,Resolved,11.0,3.0
CMP002331,0515-YPMCW,2025-01-26,Call Drop,High,Customer Care,Resolved,7.0,3.0
CMP002332,0515-YPMCW,2021-12-09,Wrong Charges,High,Sales,Closed,15.0,3.0
CMP002333,0378-XSZPU,2020-04-07,Frequent Disconnections,Low,Network,Resolved,4.0,1.0
CMP002334,4729-XKASR,2022-04-04,Frequent Disconnections,Medium,Billing,In Progress,,
CMP002335,5449-FIBXJ,2020-12-20,Call Drop,Medium,Sales,Closed,9.0,2.0
CMP002336,5449-FIBXJ,2025-11-11,Poor Customer Support,High,Technical,Resolved,13.0,2.0
CMP002337,9837-BMCLM,2021-08-05,Poor Network,High,Technical,Resolved,6.0,2.0
CMP002338,9837-BMCLM,2021-03-26,Poor Customer Support,High,Sales,In Progress,,
CMP002339,0137-UDEUO,2020-09-26,Customer Support,Medium,Technical,Open,,
CMP002340,6161-UUUTA,2021-02-28,Poor Network,High,Technical,Open,,
CMP002341,6161-UUUTA,2021-12-25,Frequent Disconnections,High,Billing,Open,,
CMP002342,6543-XRMYR,2024-06-05,Poor Network,High,Technical,Resolved,1.0,1.0
CMP002343,6543-XRMYR,2024-08-01,Streaming Issue,High,Sales,Closed,2.0,2.0
CMP002344,6543-XRMYR,2023-03-11,Installation Delay,High,Sales,Open,,
CMP002345,4925-LMHOK,2024-11-18,Poor Customer Support,High,Sales,In Progress,,
CMP002346,4925-LMHOK,2025-12-24,Service Outage,Medium,Network,Resolved,10.0,3.0
CMP002347,1455-UGQVH,2022-05-10,Poor Customer Support,Medium,Technical,Closed,6.0,3.0
CMP002348,1455-UGQVH,2020-11-19,Call Drop,High,Technical,Resolved,4.0,3.0
CMP002349,1455-UGQVH,2025-10-26,Payment Issue,High,Sales,Closed,9.0,2.0
CMP002350,8280-MQRQN,2024-07-19,Frequent Disconnections,High,Network,In Progress,,
CMP002351,2037-SGXHH,2023-09-03,Low Download Speed,Medium,Network,In Progress,,
CMP002352,2037-SGXHH,2024-04-13,Slow Internet,Medium,Customer Care,In Progress,,
CMP002353,3178-FESZO,2023-12-02,Slow Internet,Medium,Billing,Closed,8.0,3.0
CMP002354,6087-MVHJH,2022-12-03,Installation Delay,Medium,Customer Care,Open,,
CMP002355,4603-JANFB,2022-12-28,Poor Network,Medium,Network,Closed,4.0,2.0
